书名,作品信息,得分
嫌疑人X的献身,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9
太白金星有点烦,马伯庸 / 湖南文艺出版社 / 2023-6 / 45.00,9.0
鼠疫,[法] 阿尔贝·加缪 / 刘方 / 上海译文出版社 / 2013-8 / 34.00元,9.1
史记（全十册）,司马迁 / （索隐）司马贞，（正义）张守节 / 中华书局 / 1982-11 / 125.00,9.6
黄金时代,王小波 / 花城出版社 / 1999-3 / 19.00元,8.9
可能性的艺术,刘瑜 / 广西师范大学出版社 / 2022-4 / 82.00元,9.2
傲慢与偏见,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,8.9
悲惨世界（上中下）,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,9.1
台北人,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,9.0
刘擎西方现代思想讲义,刘擎 / 新星出版社 / 2021-1 / 79.00元,9.2
诗经,孔丘 编订 / 北京出版社 / 2006-7 / 19.90元,9.5
永恒的终结,[美] 艾萨克·阿西莫夫 / 崔正男 / 江苏凤凰文艺出版社 / 2014-9 / 32.00元,9.1
始于极限,[日] 上野千鹤子 / 曹逸冰 / 新星出版社 / 2022-9-20 / 59,9.0
孽子,白先勇 / 广西师范大学出版社 / 2010.10 / 46.00元,9.2
神雕侠侣,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.9
历史深处的忧虑,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,9.0
上帝掷骰子吗,曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元,9.2
四世同堂,老舍 / 北京十月文艺出版社 / 2008-07 / 36.00元,9.4
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,9.1
美丽新世界,【英】奥尔德斯·赫胥黎 / 陈超 / 上海译文出版社 / 2017-6 / 45.00元,9.2
唐诗三百首,蘅塘退士 / 中华书局 / 1984-07-01 / 0.65,9.4
灿烂千阳,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.9
美的历程,李泽厚 / 生活·读书·新知三联书店 / 2009-7 / 43.00元,9.2
哭泣的骆驼,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,9.0
最好的告别,[美] 阿图·葛文德（Atul Gawande） / 王一方 主编 / 浙江人民出版社 / 2015-7-31 / 54.90元,9.0
文学回忆录,木心 口述 / 广西师范大学出版社 / 2013-1-10 / 98.00元,9.1
窗边的小豆豆,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.8
人间词话,王国维 / 上海古籍出版社 / 1998-12 / 9.80元,9.1
呼兰河传,萧红 / 百花文艺出版社 / 2005-01 / 19.00,9.0
绝叫,[日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00元,8.9
毛泽东选集 第一卷,毛泽东 / 人民出版社 / 1991-6 / 40.00元,9.6
冬牧场,李娟 / 新星出版社 / 2012-6 / 29.80元,9.1
棋王·树王·孩子王,阿城 / 江苏凤凰文艺出版社 / 2016-3-1 / 58.00,9.3
道德经,黄元吉 / 陕西人民出版社 / 1996-10 / 4.50元,9.5
